id(時間割コード),classId(何かに使うかもしれない通し番号),name,teacher,credit,style,url,termperiod
13R11,20210226,ソーシャル・インクルージョン論,柴田　邦臣,1,オンライン(未確定),Coming Soon…,T4Mon3
13R12,20210227,数学特別講義 C (4),竹内　敦司,1,オンライン(未確定),Coming Soon…,T4Mon3
13R13,20210228,確率統計(演習付),貞廣　泰造・立井　博子,2,オンライン(未確定),Coming Soon…,T4Mon3/T4Mon4
13R14,20210229,情報数学 b,永井　敦,1,オンライン(未確定),Coming Soon…,T4Mon3
13R15,20210230,国際援助論,崎坂　香屋子,1,オンライン(未確定),Coming Soon…,T4Mon3
13R16,20210231,西アジア研究(4),今井　真士,1,オンライン(未確定),Coming Soon…,T4Mon3
13R17,20210232,東南アジア研究(現代東南アジア特論)(4),光成　歩,1,オンライン(未確定),Coming Soon…,T4Mon3
13R18,20210233,現代日本政治経済論(4),堀江　孝司,1,オンライン(未確定),Coming Soon…,T4Mon3
13R19,20210234,３年セミナー (4),三澤　健宏,1,オンライン(未確定),Coming Soon…,T4Mon3
13R20,20210235,多文化・国際協力の実践(4),松山　章子,1,オンライン(未確定),Coming Soon…,T4Mon3
14A01,20210236,日本語ライティング(1),飯野　朋美,1,オンライン,Coming Soon…,T1Mon4
14A02,20210237,ロシア語 III (講読) (1),長井　淳,1,オンライン,Coming Soon…,T1Mon4
14A03,20210238,余暇教育(フィットネスと健康),薄井　澄誉子,0.5,オンライン,Coming Soon…,T1Mon4
14A04,20210239,オペレーティングシステム,砂原　秀樹,1,オンライン,Coming Soon…,T1Mon4
14A05,20210240,教育相談の理論と方法,高垣　マユミ,2,オンライン,Coming Soon…,T1Mon4/T1Mon5
14A06,20210241,イギリス研究特殊講義 a,米須　初美,1,オンライン,Coming Soon…,T1Mon4
14A07,20210242,特別支援教育論,柴田　邦臣,1,オンライン,Coming Soon…,T1Mon4
14A08,20210243,Global Southとフィールドワーク(アジア・アフリカ・ラテンアメリカ) a (1),三澤　健宏,1,オンライン,Coming Soon…,T1Mon4
14G01,20210244,ことばの世界,郷路　拓也,3,オンライン,Coming Soon…,T1Mon4/T3Mon4/T4Mon4
14G02,20210245,Reading Skills II,古谷　孝子,3,オンライン,Coming Soon…,T1Mon4/T3Mon4/T4Mon4
14G03,20210246,Reading Skills II,宇佐見　英美子,3,オンライン,Coming Soon…,T1Mon4/T3Mon4/T4Mon4
14G04,20210247,Oral English II (国),Kenneth Biegel,3,オンライン,Coming Soon…,T1Mon4/T3Mon4/T4Mon4
14G05,20210248,Oral English II (国),Robert Spivak,3,オンライン,Coming Soon…,T1Mon4/T3Mon4/T4Mon4
14G06,20210249,Oral English II (国),Terence J. Cooney,3,オンライン,Coming Soon…,T1Mon4/T3Mon4/T4Mon4
